Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior,SalaryPerExperience,AgeGroup
27.0,1,2,Research Scientist,1.5,50000.0,4,0,0,33333.333333333336,2
35.0,0,1,Operations Analyst,8.0,85000.0,3,0,1,10625.0,2
42.0,1,3,6.0,13.0,140000.0,3,0,1,10769.23076923077,3
32.0,0,1,Sales Representative,3.0,45000.0,2,0,0,15000.0,2
45.0,0,2,Software Developer,16.0,140000.0,2,1,1,8750.0,3
33.0,1,1,Operations Analyst,5.0,70000.0,3,1,0,14000.0,2
39.0,0,1,Marketing Specialist,10.0,120000.0,3,4,1,12000.0,2
44.0,1,3,HR Manager,18.0,160000.0,3,0,1,8888.888888888889,3
29.0,0,1,Business Analyst,1.5,40000.0,2,2,0,26666.666666666668,2
38.0,1,1,7.0,10.0,120000.0,4,3,1,12000.0,2
46.0,0,3,5.0,19.0,150000.0,1,1,1,7894.736842105263,3
34.0,1,1,Marketing Analyst,6.0,70000.0,0,1,0,11666.666666666666,2
36.0,0,1,Operations Manager,8.0,95000.0,0,0,1,11875.0,2
49.0,1,2,Director of Marketing,21.0,180000.0,3,0,0,8571.42857142857,3
31.0,0,1,Financial Analyst,3.0,50000.0,3,4,0,16666.666666666668,2
41.0,1,1,Project Coordinator,11.0,95000.0,0,6,1,8636.363636363636,3
47.0,0,2,Director of Operations,20.0,170000.0,3,0,0,8500.0,3
30.0,1,1,Marketing Coordinator,2.0,40000.0,0,0,0,20000.0,2
38.0,0,2,IT Consultant,9.0,110000.0,2,2,1,12222.222222222224,2
45.0,1,3,Product Designer,15.0,150000.0,4,3,1,10000.0,3
28.0,0,1,Business Development Associate,2.0,40000.0,0,1,0,20000.0,2
35.0,1,1,Marketing Analyst,8.0,85000.0,3,0,1,10625.0,2
44.0,0,1,0.0,14.0,130000.0,2,2,1,9285.714285714286,3
34.0,1,2,Financial Advisor,6.0,100000.0,2,2,1,16666.666666666668,2
35.0,0,1,Project Coordinator,9.0,95000.0,1,1,1,10555.555555555557,2
50.0,1,3,Director of Operations,22.0,180000.0,2,0,0,8181.818181818182,3
37.0,1,1,Financial Manager,10.0,120000.0,0,6,1,12000.0,2
46.0,0,3,1.0,18.0,160000.0,4,5,1,8888.888888888889,3
31.0,1,1,Marketing Coordinator,3.0,50000.0,2,0,0,16666.666666666668,2
42.0,0,1,Operations Manager,12.0,110000.0,3,4,1,9166.666666666666,3
29.0,1,1,Sales Representative,1.5,40000.0,0,6,0,26666.666666666668,2
36.0,0,1,Marketing Specialist,8.0,95000.0,1,0,1,11875.0,2
44.0,1,2,HR Specialist,15.0,140000.0,4,5,1,9333.333333333334,3
33.0,0,1,Operations Manager,4.0,60000.0,4,3,0,15000.0,2
39.0,1,1,Marketing Coordinator,9.0,110000.0,4,0,1,12222.222222222224,2
45.0,0,3,Data Engineer,16.0,150000.0,2,1,1,9375.0,3
37.0,0,1,Financial Analyst,8.0,90000.0,2,2,1,11250.0,2
47.0,1,2,Director of Marketing,20.0,180000.0,1,7,0,9000.0,3
30.0,0,1,Business Analyst,2.0,40000.0,2,2,0,20000.0,2
38.0,1,1,Project Manager,9.0,120000.0,1,1,1,13333.333333333334,2
46.0,0,3,5.0,17.0,160000.0,1,1,1,9411.764705882351,3
34.0,1,1,Financial Analyst,5.0,70000.0,1,7,0,14000.0,2
36.0,0,1,7.0,8.0,95000.0,2,1,1,11875.0,2
49.0,1,2,Director of Operations,21.0,180000.0,1,7,0,8571.42857142857,3
41.0,1,1,Project Coordinator,11.0,95000.0,3,4,1,8636.363636363636,3
47.0,0,2,Director of Marketing,19.0,170000.0,3,0,0,8947.368421052632,3
29.0,1,1,Business Development Associate,1.5,35000.0,2,0,0,23333.33333333333,2
35.0,0,1,Financial Manager,9.0,100000.0,3,0,1,11111.111111111111,2
44.0,1,3,Product Designer,15.0,150000.0,4,0,1,10000.0,3
33.0,0,1,Business Analyst,4.0,60000.0,3,4,0,15000.0,2
35.0,1,1,Marketing Analyst,8.0,85000.0,4,5,1,10625.0,2
44.0,0,1,0.0,13.0,130000.0,3,0,1,10000.0,3
32.0,0,1,7.0,4.0,65000.0,4,5,0,16250.0,2
38.0,1,1,Business Analyst,10.0,110000.0,2,1,1,11000.0,2
49.0,0,3,Director of Operations,21.0,180000.0,0,1,0,8571.42857142857,3
29.0,1,1,Marketing Specialist,2.0,40000.0,2,2,0,20000.0,2
33.0,0,1,Financial Analyst,4.0,60000.0,4,3,0,15000.0,2
40.0,1,1,6.0,12.0,130000.0,2,1,1,10833.333333333334,3
44.0,0,3,1.0,16.0,160000.0,2,1,1,10000.0,3
30.0,1,1,Operations Coordinator,2.0,40000.0,2,0,0,20000.0,2
37.0,0,1,Marketing Analyst,9.0,100000.0,1,7,1,11111.111111111111,2
31.0,0,1,Project Manager,3.0,55000.0,3,4,0,18333.33333333333,2
38.0,1,1,Operations Coordinator,9.0,120000.0,3,1,1,13333.333333333334,2
45.0,0,3,Data Engineer,16.0,150000.0,3,4,1,9375.0,3
33.0,1,1,6.0,5.0,70000.0,1,7,0,14000.0,2
36.0,0,1,Business Analyst,8.0,95000.0,4,5,1,11875.0,2
49.0,1,2,Director of Marketing,21.0,180000.0,4,0,0,8571.42857142857,3
31.0,0,1,Operations Analyst,3.0,50000.0,3,4,0,16666.666666666668,2
42.0,1,1,Project Manager,12.0,120000.0,2,0,1,10000.0,3
47.0,0,2,Director of Marketing,19.0,170000.0,1,0,0,8947.368421052632,3
29.0,1,1,Business Development Associate,1.5,35000.0,2,0,0,23333.33333333333,2
35.0,0,1,Financial Manager,9.0,100000.0,2,1,1,11111.111111111111,2
44.0,1,3,Product Designer,15.0,150000.0,2,1,1,10000.0,3
33.0,0,1,Business Analyst,4.0,60000.0,1,0,0,15000.0,2
35.0,1,1,Marketing Analyst,8.0,85000.0,3,4,1,10625.0,2
44.0,0,1,0.0,13.0,130000.0,2,0,1,10000.0,3
34.0,1,2,Financial Advisor,6.0,80000.0,3,0,1,13333.333333333334,2
36.0,0,1,Marketing Specialist,8.0,95000.0,3,0,1,11875.0,2
37.0,0,1,Business Development Manager,10.0,120000.0,4,5,1,12000.0,2
45.0,1,2,6.0,16.0,160000.0,3,4,1,10000.0,3
39.0,1,1,Project Manager,12.0,130000.0,3,0,1,10833.333333333334,2
47.0,0,3,Director of Engineering,20.0,180000.0,4,0,0,9000.0,3
29.0,1,1,Marketing Analyst,2.0,40000.0,2,2,0,20000.0,2
36.0,0,1,Operations Manager,9.0,100000.0,1,1,1,11111.111111111111,2
43.0,1,3,1.0,15.0,150000.0,0,6,1,10000.0,3
32.0,0,1,Marketing Coordinator,3.0,55000.0,3,0,0,18333.33333333333,2
38.0,1,1,Business Analyst,10.0,110000.0,4,0,1,11000.0,2
48.0,0,2,Director of Marketing,21.0,180000.0,4,5,0,8571.42857142857,3
31.0,1,1,Business Development Associate,3.0,50000.0,4,3,0,16666.666666666668,2
40.0,0,1,Financial Analyst,12.0,130000.0,2,0,1,10833.333333333334,3
45.0,1,3,UX Designer,16.0,160000.0,2,1,1,10000.0,3
33.0,0,1,7.0,4.0,60000.0,3,1,0,15000.0,2
36.0,1,1,6.0,8.0,95000.0,4,3,1,11875.0,2
47.0,0,2,Director of Operations,19.0,170000.0,4,5,0,8947.368421052632,3
29.0,1,1,Project Manager,2.0,40000.0,1,7,0,20000.0,2
34.0,0,1,Operations Coordinator,7.0,90000.0,1,1,1,12857.142857142857,2
44.0,1,3,Business Analyst,15.0,150000.0,1,0,1,10000.0,3
35.0,1,1,Financial Manager,8.0,90000.0,2,0,1,11250.0,2
43.0,0,2,Director of Marketing,18.0,170000.0,4,3,0,9444.444444444443,3
31.0,1,1,Financial Analyst,3.0,50000.0,1,1,0,16666.666666666668,2
41.0,0,1,7.0,14.0,150000.0,3,0,1,10714.285714285714,3
44.0,1,3,Data Engineer,16.0,160000.0,3,1,1,10000.0,3
33.0,0,1,Business Analyst,4.0,60000.0,3,4,0,15000.0,2
35.0,1,1,Marketing Analyst,8.0,85000.0,3,1,1,10625.0,2
45.0,0,2,Director of Engineering,19.0,180000.0,4,5,0,9473.684210526317,3
28.0,1,1,Operations Manager,1.0,35000.0,3,1,0,35000.0,2
36.0,0,1,Business Development Manager,8.0,110000.0,0,1,1,13750.0,2
44.0,1,3,1.0,16.0,160000.0,4,5,1,10000.0,3
31.0,0,1,Marketing Coordinator,3.0,55000.0,3,4,0,18333.33333333333,2
38.0,1,1,Business Analyst,10.0,110000.0,3,4,1,11000.0,2
48.0,0,2,Director of Marketing,21.0,180000.0,3,1,0,8571.42857142857,3
31.0,1,1,Business Development Associate,3.0,50000.0,3,4,0,16666.666666666668,2
40.0,0,1,Financial Analyst,12.0,130000.0,0,0,1,10833.333333333334,3
45.0,1,3,UX Designer,16.0,160000.0,1,1,1,10000.0,3
33.0,0,1,7.0,4.0,60000.0,3,0,0,15000.0,2
29.0,1,1,Project Manager,2.0,40000.0,2,2,0,20000.0,2
34.0,0,1,Operations Coordinator,7.0,90000.0,4,5,1,12857.142857142857,2
33.0,0,1,Marketing Specialist,5.0,70000.0,3,0,0,14000.0,2
35.0,1,1,Financial Manager,8.0,90000.0,4,5,1,11250.0,2
43.0,0,2,Director of Marketing,18.0,170000.0,3,1,0,9444.444444444443,3
31.0,1,1,Financial Analyst,3.0,50000.0,3,4,0,16666.666666666668,2
41.0,0,1,7.0,14.0,150000.0,4,5,1,10714.285714285714,3
44.0,1,3,Data Engineer,16.0,160000.0,2,0,1,10000.0,3
35.0,1,1,Marketing Analyst,8.0,85000.0,4,0,1,10625.0,2
43.0,0,2,Director of Operations,19.0,170000.0,4,0,0,8947.368421052632,3
29.0,1,1,Project Manager,2.0,40000.0,0,1,0,20000.0,2
34.0,0,1,Operations Coordinator,7.0,90000.0,4,0,1,12857.142857142857,2
44.0,1,3,Business Analyst,15.0,150000.0,1,0,1,10000.0,3
31.0,0,2,1.0,6.0,160000.0,2,0,0,26666.666666666668,2
28.0,1,1,0.0,3.0,125000.0,3,4,0,41666.66666666666,2
26.0,0,2,7.0,2.0,120000.0,4,0,0,60000.0,2
27.0,1,1,5.0,2.0,110000.0,1,7,0,55000.0,2
30.0,0,3,1.0,5.0,180000.0,4,3,0,36000.0,2
29.0,1,1,0.0,4.0,140000.0,2,0,0,35000.0,2
32.0,0,1,7.0,7.0,170000.0,0,1,0,24285.714285714286,2
25.0,1,2,5.0,1.0,100000.0,4,0,0,100000.0,2
33.0,0,3,1.0,8.0,190000.0,1,7,0,23750.0,2
28.0,0,2,7.0,3.0,130000.0,3,4,0,43333.333333333336,2
30.0,1,1,5.0,5.0,145000.0,0,6,0,29000.0,2
27.0,0,3,1.0,2.0,115000.0,0,6,0,57500.0,2
34.0,0,1,7.0,9.0,185000.0,4,5,0,20555.555555555555,2
25.0,1,2,5.0,1.0,100000.0,2,2,0,100000.0,2
33.0,0,3,1.0,8.0,190000.0,3,4,0,23750.0,2
28.0,0,2,7.0,3.0,130000.0,2,0,0,43333.333333333336,2
30.0,1,1,5.0,5.0,145000.0,2,0,0,29000.0,2
28.0,0,1,0.0,3.0,125000.0,4,3,0,41666.66666666666,2
26.0,1,2,7.0,2.0,120000.0,0,0,0,60000.0,2
27.0,0,1,5.0,2.0,110000.0,0,6,0,55000.0,2
30.0,1,3,1.0,5.0,180000.0,4,3,0,36000.0,2
32.0,0,1,7.0,7.0,170000.0,4,5,0,24285.714285714286,2
25.0,1,2,5.0,1.0,100000.0,2,1,0,100000.0,2
33.0,0,3,1.0,8.0,190000.0,3,1,0,23750.0,2
31.0,1,1,0.0,6.0,155000.0,2,2,0,25833.33333333333,2
28.0,0,2,7.0,3.0,130000.0,3,1,0,43333.333333333336,2
30.0,1,1,5.0,5.0,145000.0,3,1,0,29000.0,2
27.0,0,3,1.0,2.0,115000.0,1,1,0,57500.0,2
29.0,1,1,0.0,4.0,140000.0,2,0,0,35000.0,2
34.0,0,1,7.0,9.0,185000.0,3,0,0,20555.555555555555,2
25.0,1,2,5.0,1.0,100000.0,4,0,0,100000.0,2
33.0,0,3,1.0,8.0,190000.0,1,0,0,23750.0,2
31.0,1,1,0.0,6.0,155000.0,2,2,0,25833.33333333333,2
28.0,0,2,7.0,3.0,130000.0,3,1,0,43333.333333333336,2
